episode,nearest distance for adult,nearest distance for child,nearest distance for elder,time DExc for adult,time DExc for child,time DExc for elder,reward,done_reason,total time steps,total time,path
1.0,3.022811731380031,0.8094127348520169,1.9302297539677336,0.0,14.0,0.0,8.208748045415668,2.0,310.0,34.09999999999989,36.043581715744054
2.0,0.9425305478654723,3.2668726667855865,1.9603019144294527,3.0,0.0,0.0,7.911690655434207,2.0,298.0,32.779999999999944,35.425125020709196
3.0,2.5596434111480866,5.4417804550777715,1.1071790029911015,0.0,0.0,29.0,5.344766231084983,2.0,308.0,33.879999999999924,35.44184416650757
4.0,1.7774518728176432,1.7215585190316671,1.227114171381783,0.0,0.0,15.0,8.229315224362708,2.0,302.0,33.21999999999993,35.47884504104085
5.0,2.9004727012264486,1.4616037105608133,3.327066744191282,0.0,0.0,0.0,8.973190000000002,2.0,294.0,32.33999999999995,33.69632640617719
6.0,2.0489131025477856,3.077195150908748,2.432982265014605,0.0,0.0,0.0,10.388910000000001,2.0,325.0,35.749999999999915,36.83589474574247
7.0,2.3419748898089736,1.5247776588291189,1.570348028585469,0.0,0.0,0.0,9.688580000000005,2.0,327.0,35.96999999999992,37.730543695540206
8.0,4.027557970351999,1.5185865493527886,2.7419079631630114,0.0,0.0,0.0,8.749150000000004,2.0,307.0,33.769999999999925,36.22700666227916
9.0,1.7481234861815846,3.7007218147827263,2.0640653559873603,0.0,0.0,0.0,8.55279,2.0,284.0,31.239999999999945,33.479154269398876
10.0,2.26948844744031,2.8466813472992056,2.0229921259775856,0.0,0.0,0.0,9.33282,2.0,317.0,34.86999999999992,35.28725364543374
11.0,0.8573389358337988,1.3261823420260792,0.7936825927717235,6.0,0.0,11.0,6.853700822916734,2.0,313.0,34.42999999999993,36.70838283301838
12.0,1.3685345280743426,0.8679780110657237,1.0580507464825841,0.0,11.0,31.0,4.108219445141492,2.0,359.0,39.48999999999989,37.19038086340238
14.0,3.002286774966624,0.6272380591799687,4.298879048293884,0.0,4.0,0.0,8.62451838585684,2.0,291.0,32.00999999999991,34.383610563727714
15.0,3.5632891881625035,3.3172439177785416,3.5476677733332145,0.0,0.0,0.0,7.775510000000002,2.0,293.0,32.22999999999994,34.87041503248589
16.0,3.4839485452060113,1.6326223292891033,2.9443188757308927,0.0,0.0,0.0,8.782050000000002,2.0,306.0,33.65999999999992,35.403668949764246
17.0,1.4264555916175836,0.996202447219984,1.859904941945899,0.0,10.0,0.0,8.233964492196867,2.0,397.0,43.66999999999989,39.37709048079907
18.0,1.5314818025723136,1.648516678758382,1.1234568759376715,0.0,0.0,10.0,6.412071338574366,2.0,301.0,33.109999999999935,34.96864543999957
19.0,1.615418028101967,2.1939291150861644,1.7816584483858364,0.0,0.0,0.0,8.503580000000003,2.0,294.0,32.339999999999925,34.14354468148873
20.0,1.7538262416059096,2.797470391292624,0.8937001264056036,0.0,0.0,11.0,7.815158838977485,2.0,344.0,37.83999999999989,37.823774566325504
21.0,1.168351335658105,2.3413110135131543,1.8509274829711218,0.0,0.0,0.0,2.5189600000000016,1.0,243.0,26.729999999999926,22.109678930573054
22.0,1.2370330770557223,1.8187863850696488,1.6205158081488926,0.0,0.0,0.0,9.879920000000006,2.0,356.0,39.15999999999987,34.48746520982655
23.0,2.1645015247872634,1.368799166836638,1.4054959756084138,0.0,0.0,4.0,9.536721481253826,2.0,347.0,38.1699999999999,38.3531035878012
24.0,1.2801899597638535,2.431804505455946,2.2013503237935694,0.0,0.0,0.0,1.192379999999999,1.0,274.0,30.139999999999944,29.939489548631464
25.0,0.572626959842184,8.473636323260067,9.657891273714695,33.0,0.0,0.0,-9.614740712973534,1.0,63.0,6.929999999999998,0.24060183739862512
26.0,0.6185205853784289,1.569553311070429,2.0088669123956406,5.0,0.0,0.0,8.341983958594518,2.0,317.0,34.869999999999926,37.06122428956173
27.0,1.385705905986071,1.5681995405458775,1.378500369259053,0.0,0.0,7.0,6.67788829888615,2.0,415.0,45.649999999999864,41.30183545652906
28.0,2.2697709167267495,1.7877268712446936,2.562888006645163,0.0,0.0,0.0,8.550939999999999,2.0,302.0,33.219999999999935,35.17895829889056
29.0,1.137456230169098,1.5190482986023246,3.251087557261998,0.0,0.0,0.0,7.862159999999996,2.0,306.0,33.65999999999994,35.66284614769094
30.0,3.2904299732377984,2.1185436801058195,1.879611401393773,0.0,0.0,0.0,8.0521,2.0,287.0,31.569999999999943,34.183261386151614
31.0,1.0447603153988807,2.7778155058310747,1.5769287090295674,0.0,0.0,0.0,8.655359999999996,2.0,313.0,34.429999999999936,35.76763164526473
32.0,3.4650842229114533,2.1159894207539005,1.9326979889672093,0.0,0.0,0.0,8.983390000000004,2.0,295.0,32.44999999999989,34.03967276590044
33.0,2.7872572014170114,2.218959595501721,1.6401657242055747,0.0,0.0,0.0,10.815930000000003,2.0,316.0,34.75999999999988,37.09269091900291
34.0,0.8325041928889934,3.8300266559858045,1.9004990937933266,6.0,0.0,0.0,8.745979695775018,2.0,327.0,35.96999999999992,37.93814847986387
35.0,2.1765908931536595,2.512011635237503,2.019399686091173,0.0,0.0,0.0,9.036610000000003,2.0,301.0,33.10999999999989,33.72948671831218
36.0,2.1722415616617985,1.8871489099431085,1.5859373989989987,0.0,0.0,0.0,9.620020000000002,2.0,301.0,33.109999999999886,34.89135526528683
37.0,2.4318307085837287,1.845614479107134,1.609813829284848,0.0,0.0,0.0,8.002780000000003,2.0,332.0,36.51999999999991,37.60941111921666
38.0,2.048295418924371,1.9559625430245895,2.1814714621033318,0.0,0.0,0.0,7.955310000000001,2.0,337.0,37.069999999999915,39.671426308452446
39.0,2.319269303714451,1.3089338375645447,3.9230417193387646,0.0,0.0,0.0,8.99535,2.0,304.0,33.43999999999995,34.92335140706441
