episode,nearest distance for adult,nearest distance for child,nearest distance for elder,time DExc for adult,time DExc for child,time DExc for elder,reward,done_reason,total time steps,total time,path
1.0,2.1281723133003703,1.1847679870154773,2.1266238007134026,0.0,2.0,0.0,7.9716999999999985,2.0,287.0,31.569999999999936,33.30818959255424
2.0,0.7713368797313238,4.053518754539897,1.5645465908520295,7.0,0.0,0.0,-3.555580000000001,1.0,26.0,2.86,2.535957393911816
3.0,0.7866066511069473,2.5058388518738113,2.3756070855406444,6.0,0.0,0.0,8.201260000000001,2.0,280.0,30.799999999999905,33.30501838660199
4.0,0.894149920496932,0.8677596638839462,2.2925141603532273,4.0,9.0,0.0,7.797689999999999,2.0,284.0,31.23999999999991,32.945974856805755
5.0,1.2131535346173496,1.1536261014469442,2.0261210873252655,0.0,6.0,0.0,9.051810000000003,2.0,297.0,32.66999999999989,33.64321199441073
6.0,0.7990912437713501,1.2556183227476871,2.129906064877453,5.0,0.0,0.0,5.195719999999983,0.0,513.0,56.4299999999998,32.08999796844436
25.0,2.265856728210802,0.9163375833574775,1.5392810770763272,0.0,6.0,0.0,9.851510000000005,2.0,293.0,32.22999999999994,33.31468348570368
26.0,1.231081159527792,1.4373027621958712,1.0897266959414906,0.0,0.0,11.0,8.61227,2.0,307.0,33.769999999999925,33.38019160709976
27.0,0.4343707065210243,1.8707867737576347,1.286805772435833,7.0,0.0,12.0,-0.8069299999999986,1.0,147.0,16.169999999999998,16.06276020106285
28.0,0.9007405810006103,1.9652701902473975,0.8883374981149703,4.0,0.0,11.0,9.112210000000001,2.0,334.0,36.73999999999992,33.42681390766701
29.0,2.263560755062182,0.8627897201358199,1.8773196574211632,0.0,3.0,0.0,-0.19168000000000074,1.0,110.0,12.100000000000007,12.975952185178958
30.0,0.8468985067679226,1.4852030727744514,3.845639732519164,10.0,0.0,0.0,0.9672500000000026,1.0,197.0,21.66999999999998,23.516834619492002
31.0,1.9038449960134003,1.116328604138367,0.9301855921156071,0.0,5.0,15.0,9.489690000000003,2.0,290.0,31.899999999999924,33.171632722127256
32.0,1.430314608390001,1.3985605237577678,1.0668873124302698,0.0,0.0,10.0,7.353140000000001,2.0,295.0,32.44999999999994,33.51800451527341
33.0,0.6136066930841295,0.5850072718872753,0.7401516274328264,2.0,6.0,24.0,1.4933600000000018,1.0,299.0,32.88999999999994,31.62075630651424
34.0,0.8599417126188852,0.5045273942875245,1.0495300213544612,3.0,11.0,11.0,-3.51007,1.0,57.0,6.269999999999999,2.67872316001122
35.0,2.2274709730587205,0.9449132061838055,1.0169915894815718,0.0,6.0,22.0,8.575170000000002,2.0,294.0,32.33999999999992,33.60893108152637
36.0,0.9125449092925273,0.9808564536440414,0.8278890660593425,5.0,7.0,54.0,8.203560000000001,2.0,303.0,33.329999999999934,33.74341282286245
37.0,0.7795711258847593,5.318185120894466,1.902223083714775,6.0,0.0,0.0,-3.516,1.0,43.0,4.73,4.2326946432148
38.0,1.5458892661444894,0.7324186939034043,0.79861083136203,0.0,10.0,76.0,2.312810000000003,0.0,515.0,56.64999999999983,30.14542576770018
39.0,1.9789170943283194,1.0334661818600288,1.086276485222866,0.0,5.0,10.0,11.266969999999995,2.0,370.0,40.69999999999985,33.03449084982431
40.0,1.0655709830589835,0.6703793651494728,1.1732302202211833,0.0,31.0,35.0,9.275680000000001,2.0,312.0,34.319999999999894,33.7776657348901
41.0,1.0953479647662832,4.2754615327399526,1.2763756071981578,0.0,0.0,6.0,-2.05187,1.0,87.0,9.570000000000006,9.724193397266289
42.0,2.9496018494989222,0.9799221564747143,1.5799410083058372,0.0,12.0,0.0,2.151150000000002,1.0,224.0,24.639999999999922,25.8646384150992
44.0,0.7562373563968733,1.892965206168,1.2113465025555856,13.0,0.0,18.0,9.03191,2.0,365.0,40.14999999999989,33.13720286713149
45.0,1.2886865596120016,0.8377848170228385,0.9380771498871594,0.0,8.0,15.0,8.963789999999996,2.0,370.0,40.6999999999999,32.9961633540541
46.0,0.7598103785744643,0.3072168378302761,1.4601055716316549,6.0,6.0,4.0,1.5304700000000029,1.0,213.0,23.429999999999964,24.903089757290655
47.0,3.088721815127334,2.6651613598850994,1.2305440535079444,0.0,0.0,13.0,9.002870000000005,2.0,293.0,32.22999999999991,33.17401688772542
48.0,1.047901126423664,1.8584667928255207,2.027820557620078,0.0,0.0,0.0,4.331999999999973,0.0,513.0,56.42999999999977,32.951348024288826
49.0,1.5842125449883415,2.3332610077694813,1.1522885272184584,0.0,0.0,9.0,10.358570000000006,2.0,283.0,31.12999999999991,33.49345316401097
50.0,1.450158439396887,1.522140904565053,1.1505512156768132,0.0,0.0,10.0,8.707810000000002,2.0,331.0,36.40999999999991,34.05235295735376
52.0,1.0251489528004438,1.482198335960187,1.016592150286463,0.0,0.0,12.0,-0.9578799999999985,1.0,162.0,17.82000000000001,18.806609014254725
53.0,0.649744218360284,1.7162714364208824,1.3686726905462832,6.0,0.0,6.0,8.268640000000005,2.0,304.0,33.43999999999994,33.16852407562163
54.0,0.9054994919941601,1.680493779687512,1.3357903279138559,5.0,0.0,7.0,8.55274,2.0,302.0,33.21999999999989,32.993436845396964
55.0,1.8068247952441507,2.117226663283184,3.7126841795272014,0.0,0.0,0.0,9.799190000000003,2.0,289.0,31.78999999999992,33.21961901924798
56.0,1.5295129213423309,1.7481495758703762,2.015449906464701,0.0,0.0,0.0,8.801590000000004,2.0,293.0,32.22999999999992,33.059728382071135
57.0,2.3939581431021772,1.2753990746713806,1.6850248405057713,0.0,0.0,0.0,7.23986,2.0,279.0,30.689999999999948,32.87584045027933
58.0,0.6645893651312175,1.4610540407926749,1.7419779419604955,7.0,0.0,0.0,7.25605,2.0,289.0,31.789999999999946,33.34070404240733
59.0,1.4489161638187462,2.998496196179417,0.9198502202353971,0.0,0.0,15.0,8.431960000000004,2.0,283.0,31.129999999999924,33.51152700095752
60.0,1.5586851628926846,0.3890254761069976,6.588086557470992,0.0,26.0,0.0,-3.8795200000000003,1.0,73.0,8.029999999999998,3.503918304225541
61.0,0.7002794789647007,0.6661054922990954,5.217903305571883,3.0,19.0,0.0,2.079210000000004,1.0,223.0,24.52999999999993,24.354324937377818
62.0,1.097736004406753,0.8963809356072504,1.0589087722192432,0.0,7.0,14.0,7.578269999999996,2.0,322.0,35.41999999999992,32.92220364349788
63.0,1.1181546384034537,1.4155705297759604,1.8442394004235105,0.0,0.0,0.0,7.37054,2.0,297.0,32.669999999999945,33.679739444759086
64.0,1.78659572756803,2.6878123665062224,2.79143493636997,0.0,0.0,0.0,7.601159999999998,2.0,281.0,30.909999999999943,32.898268811031116
65.0,0.4181988832048292,1.7710046222284004,1.005878745157877,3.0,0.0,9.0,-0.24894999999999845,1.0,166.0,18.259999999999994,18.431360371275684
66.0,1.481112617445493,2.2490748557912608,1.997572370952966,0.0,0.0,0.0,1.3019900000000018,1.0,169.0,18.58999999999997,19.798606582023467
67.0,1.8346508462098532,0.7685026446097221,1.8320124323000055,0.0,11.0,0.0,8.627019999999998,2.0,393.0,43.22999999999987,33.083633227346276
68.0,4.327100884611445,1.766154144654567,0.9335772750127749,0.0,0.0,28.0,4.176969999999982,0.0,513.0,56.429999999999794,33.28126960037246
69.0,0.5879916028087107,0.8734770867863301,1.3488537102949902,8.0,7.0,5.0,2.263650000000002,0.0,514.0,56.53999999999982,33.65872780085787
70.0,2.1427890568658943,1.0390777849357258,5.633059687700624,0.0,4.0,0.0,-1.64831,1.0,133.0,14.630000000000019,15.352493945986536
71.0,1.3863231293967782,1.7150415999552555,1.4765801559433662,0.0,0.0,3.0,7.018919999999985,2.0,428.0,47.079999999999856,32.712644464264976
72.0,1.4464034764222824,1.6692524735285934,1.5488733603545168,0.0,0.0,0.0,12.156530000000007,2.0,280.0,30.799999999999898,32.923529509479806
75.0,1.4248540717184175,0.8858573104466211,4.169604847280315,0.0,6.0,0.0,-0.9045599999999991,1.0,214.0,23.53999999999998,23.825342234818585
76.0,0.9724990630720357,1.5031787427388141,4.827125649738018,4.0,0.0,0.0,0.2038000000000002,1.0,114.0,12.540000000000004,13.54051828528527
77.0,1.3544723447203266,1.6811576858964503,1.0481534805629542,0.0,0.0,29.0,9.26266,2.0,299.0,32.88999999999988,33.20631491214912
78.0,2.707501399162849,2.263455696223953,1.659856768740656,0.0,0.0,0.0,9.14948,2.0,295.0,32.4499999999999,33.0133033416593
79.0,0.6703333648235292,1.7024658045535417,3.2423911127760827,2.0,0.0,0.0,1.350970000000003,1.0,271.0,29.80999999999995,31.122297799615737
80.0,0.8722709996419575,1.4815045090461554,1.0835110022712027,5.0,0.0,19.0,0.3418100000000024,1.0,183.0,20.12999999999997,20.497025662077256
81.0,2.172977668681441,1.2075279962023542,1.2127223734895574,0.0,0.0,16.0,-0.44118999999999975,1.0,215.0,23.64999999999998,23.458037124314885
82.0,1.161178308111305,4.012046180520821,0.6690857849240541,0.0,0.0,154.0,2.8398099999999924,0.0,514.0,56.5399999999998,31.79589881783841
83.0,0.8355389203010419,0.5252409915414543,1.511216531842266,6.0,6.0,0.0,0.6705899999999998,1.0,264.0,29.039999999999953,30.06766510748526
84.0,0.4799077667585093,2.0130023476409,1.0792726193606443,12.0,0.0,10.0,-2.21181,1.0,106.0,11.66000000000001,9.618558846587243
85.0,1.560569827363655,2.0232144235749074,1.3103624287629627,0.0,0.0,5.0,8.851090000000005,2.0,281.0,30.909999999999904,33.059479580183
86.0,1.075025781510494,1.0973037220293738,1.2574249589711195,0.0,3.0,9.0,3.169099999999987,0.0,513.0,56.42999999999982,33.199259644421744
88.0,2.787182732632665,1.2375695095211712,1.7660992253470496,0.0,0.0,0.0,7.499999999999998,2.0,304.0,33.439999999999934,32.86437074890648
89.0,1.3660920555044107,0.8960619270410034,1.0257467936067874,0.0,17.0,15.0,8.39154,2.0,288.0,31.679999999999925,33.31862159860655
90.0,0.9454362257046717,1.6179664918349168,0.6487664412678791,4.0,0.0,23.0,6.1765199999999965,2.0,333.0,36.629999999999924,33.189729070876886
91.0,1.4873693869864018,0.7136088508636724,0.9935576238687653,0.0,8.0,11.0,7.0075400000000005,2.0,321.0,35.309999999999924,33.32603718359913
92.0,1.8079092925394713,0.9348748638659242,2.292469513032462,0.0,9.0,0.0,7.753439999999999,2.0,298.0,32.77999999999994,33.15349940149821
93.0,1.4663965274461148,0.5981028507175197,0.7714744625086268,0.0,21.0,52.0,2.9752999999999967,0.0,514.0,56.539999999999814,33.66472106111846
94.0,0.9633625986493753,0.9260728547778211,3.0204068329038467,1.0,14.0,0.0,0.19616999999999862,1.0,258.0,28.37999999999996,29.68808760903994
95.0,1.3171446763263917,0.9407723908693859,1.160511742807889,0.0,6.0,8.0,7.5991800000000005,2.0,307.0,33.76999999999993,33.16585432903112
96.0,1.3448464315268633,0.7707532324784261,1.6910445838422934,0.0,11.0,0.0,0.6389300000000002,1.0,255.0,28.049999999999958,29.523349079435892
97.0,1.6720494817896134,1.2008882215552577,1.0716242104609162,0.0,0.0,9.0,7.460469999999998,2.0,280.0,30.799999999999944,32.83121797048303
98.0,0.5878377218374632,0.5530891367807984,1.1104533540910484,2.0,4.0,10.0,1.249509999999999,1.0,274.0,30.139999999999937,30.446506131034422
99.0,2.5117602486638293,1.2365714385950823,0.7119677064565282,0.0,0.0,12.0,10.02911,2.0,302.0,33.21999999999989,33.07942666617236
100.0,1.1767098432731746,2.277174136802026,0.4838012998754424,0.0,0.0,10.0,0.4379599999999986,1.0,250.0,27.49999999999997,29.672122995477235
101.0,1.8758549102457187,1.49329514906471,1.3667799332053403,0.0,0.0,8.0,7.521080000000001,2.0,289.0,31.78999999999994,33.05050117341141
102.0,1.7308244732128832,1.0454820715554052,0.9708145476159685,0.0,6.0,10.0,7.2385,2.0,295.0,32.449999999999946,33.37663077762178
103.0,2.408523890316808,1.1513951630228052,0.5619027003539337,0.0,3.0,11.0,3.0753599999999963,1.0,375.0,41.24999999999987,31.64229845984906
104.0,1.1895635090102414,3.254316641024258,1.9050240324113639,0.0,0.0,0.0,7.110569999999996,2.0,324.0,35.63999999999993,33.12136187430153
105.0,0.8363468919238451,2.0929576511930197,1.508261055093277,12.0,0.0,0.0,8.469010000000004,2.0,309.0,33.98999999999994,33.59325167073621
106.0,1.1618707851819454,0.5867161795297412,5.171005163927509,0.0,12.0,0.0,6.949340000000001,2.0,283.0,31.129999999999946,33.31333796345874
107.0,1.0512042424602381,1.0284350936252598,3.3592223232271836,0.0,12.0,0.0,2.0315000000000047,1.0,219.0,24.089999999999964,25.47822782475618
108.0,2.7645030374101687,1.775222306578666,0.7415824163439205,0.0,0.0,10.0,6.963960000000002,2.0,315.0,34.64999999999994,33.23369410048839
109.0,1.6653090996972597,1.182591067620703,2.5028969852929444,0.0,2.0,0.0,7.177120000000002,2.0,281.0,30.909999999999943,32.953437206897604
110.0,1.6364878683977222,3.1580902896911813,1.143027961496837,0.0,0.0,23.0,8.035789999999999,2.0,284.0,31.23999999999994,33.45754157823715
111.0,1.0814045185345766,0.7377691413122907,0.6914579769808742,0.0,13.0,14.0,2.3539000000000105,0.0,514.0,56.53999999999981,33.672199320366204
112.0,2.4359271711393533,3.2501746059029823,1.7282353012527418,0.0,0.0,0.0,7.032559999999998,2.0,288.0,31.679999999999943,32.969746106450735
